"target","MCDIp"
"a",0.731277533039648
"about",0.3215859030837
"above",0.312775330396476
"after",0.568281938325991
"airplane",0.964757709251101
"all",0.762114537444934
"alligator",0.814977973568282
"am",0.60352422907489
"an",0.237885462555066
"and",0.726872246696035
"animal",0.859030837004405
"ankle",0.54625550660793
"another",0.651982378854626
"ant",0.863436123348018
"any",0.563876651982379
"apple",0.982378854625551
"applesauce",0.832599118942731
"are",0.60352422907489
"arm",0.977973568281938
"around",0.54625550660793
"asleep",0.885462555066079
"at",0.638766519823789
"aunt",0.748898678414097
"awake",0.837004405286344
"away",0.731277533039648
"baby",0.982378854625551
"babysitter",0.427312775330396
"back",0.819383259911894
"backyard",0.753303964757709
"bad",0.876651982378855
"ball",0.991189427312775
"balloon",0.986784140969163
"banana",0.969162995594714
"basement",0.215859030837004
"basket",0.837004405286344
"bat",0.744493392070485
"bath",0.977973568281938
"bathroom",0.920704845814978
"bathtub",0.933920704845815
"be",0.480176211453745
"beach",0.718061674008811
"beads",0.599118942731278
"beans",0.850220264317181
"bear",0.951541850220264
"because",0.488986784140969
"bed",0.973568281938326
"bedroom",0.876651982378855
"bee",0.933920704845815
"before",0.39647577092511
"behind",0.621145374449339
"belt",0.806167400881057
"bench",0.449339207048458
"beside",0.290748898678414
"better",0.775330396475771
"bib",0.819383259911894
"bicycle",0.964757709251101
"big",0.955947136563877
"bird",0.982378854625551
"bite",0.911894273127753
"black",0.832599118942731
"blanket",0.955947136563877
"block",0.933920704845815
"blow",0.885462555066079
"blue",0.898678414096916
"boat",0.951541850220264
"book",0.973568281938326
"boots",0.859030837004405
"bottle",0.94273127753304
"bowl",0.951541850220264
"box",0.92511013215859
"boy",0.92511013215859
"bread",0.960352422907489
"break",0.929515418502203
"breakfast",0.872246696035242
"bring",0.757709251101322
"broken",0.933920704845815
"broom",0.881057268722467
"brother",0.634361233480176
"brown",0.779735682819383
"brush",0.92511013215859
"bubbles",0.982378854625551
"bucket",0.801762114537445
"bug",0.933920704845815
"build",0.788546255506608
"bump",0.770925110132159
"bunny",0.933920704845815
"bus",0.964757709251101
"but",0.383259911894273
"butter",0.872246696035242
"butterfly",0.920704845814978
"buttocks",0.92511013215859
"button",0.92511013215859
"buy",0.766519823788546
"by",0.616740088105727
"bye",0.982378854625551
"cake",0.94273127753304
"call",0.86784140969163
"camera",0.841409691629956
"camping",0.330396475770925
"can",0.753303964757709
"candy",0.94273127753304
"car",0.986784140969163
"careful",0.819383259911894
"carrots",0.907488986784141
"carry",0.837004405286344
"cat",0.960352422907489
"catch",0.850220264317181
"cereal",0.938325991189427
"chair",0.960352422907489
"chalk",0.687224669603524
"chase",0.665198237885463
"cheek",0.872246696035242
"cheerios",0.872246696035242
"cheese",0.973568281938326
"chicken",0.916299559471366
"child",0.39647577092511
"chin",0.863436123348018
"chocolate",0.872246696035242
"church",0.757709251101322
"circus",0.475770925110132
"clap",0.898678414096916
"clean",0.920704845814978
"climb",0.837004405286344
"clock",0.903083700440529
"close",0.881057268722467
"closet",0.828193832599119
"cloud",0.832599118942731
"clown",0.766519823788546
"coat",0.903083700440529
"cockadoodledoo",0.757709251101322
"coffee",0.806167400881057
"coke",0.643171806167401
"cold",0.977973568281938
"comb",0.86784140969163
"cook",0.832599118942731
"cookie",0.982378854625551
"corn",0.903083700440529
"couch",0.86784140969163
"could",0.299559471365639
"country",0.211453744493392
"cover",0.687224669603524
"cow",0.951541850220264
"cowboy",0.502202643171806
"cracker",0.969162995594714
"crayon",0.947136563876652
"crib",0.79295154185022
"cry",0.938325991189427
"cup",0.964757709251101
"cut",0.814977973568282
"cute",0.669603524229075
"daddy",0.995594713656388
"dance",0.916299559471366
"dark",0.814977973568282
"day",0.599118942731278
"deer",0.704845814977974
"diaper",0.955947136563877
"did",0.73568281938326
"dinner",0.86784140969163
"dirty",0.955947136563877
"dish",0.722466960352423
"do",0.841409691629956
"doctor",0.894273127753304
"does",0.409691629955947
"dog",0.977973568281938
"doll",0.881057268722467
"donkey",0.519823788546256
"donut",0.748898678414097
"door",0.973568281938326
"down",0.94273127753304
"downtown",0.273127753303965
"draw",0.845814977973568
"drawer",0.740088105726872
"dress",0.819383259911894
"drink",0.94273127753304
"drive",0.885462555066079
"drop",0.837004405286344
"dry",0.79295154185022
"dryer",0.687224669603524
"duck",0.977973568281938
"dump",0.515418502202643
"each",0.202643171806167
"ear",0.973568281938326
"eat",0.969162995594714
"egg",0.929515418502203
"elephant",0.955947136563877
"empty",0.762114537444934
"every",0.343612334801762
"eye",0.982378854625551
"face",0.898678414096916
"fall",0.955947136563877
"farm",0.634361233480176
"fast",0.832599118942731
"feed",0.797356828193833
"find",0.841409691629956
"fine",0.533039647577093
"finger",0.947136563876652
"finish",0.651982378854626
"fireman",0.73568281938326
"firetruck",0.876651982378855
"first",0.6784140969163
"fish",0.969162995594714
"fit",0.616740088105727
"fix",0.863436123348018
"flag",0.801762114537445
"flower",0.969162995594714
"food",0.894273127753304
"foot",0.982378854625551
"for",0.669603524229075
"fork",0.947136563876652
"friend",0.788546255506608
"frog",0.947136563876652
"full",0.79295154185022
"game",0.819383259911894
"garage",0.766519823788546
"garbage",0.748898678414097
"garden",0.568281938325991
"gentle",0.638766519823789
"get",0.885462555066079
"giraffe",0.837004405286344
"girl",0.885462555066079
"give",0.814977973568282
"glass",0.806167400881057
"glasses",0.854625550660793
"gloves",0.674008810572687
"glue",0.621145374449339
"go",0.969162995594714
"gonna",0.700440528634361
"good",0.903083700440529
"goose",0.599118942731278
"gotta",0.458149779735683
"grandma",0.977973568281938
"granpa",0.929515418502203
"grapes",0.951541850220264
"grass",0.938325991189427
"green",0.889867841409692
"grrr",0.894273127753304
"gum",0.766519823788546
"hafta",0.581497797356828
"hair",0.969162995594714
"hamburger",0.889867841409692
"hammer",0.784140969162996
"hand",0.955947136563877
"happy",0.86784140969163
"hard",0.687224669603524
"hat",0.947136563876652
"hate",0.295154185022026
"have",0.779735682819383
"he",0.713656387665198
"head",0.964757709251101
"hear",0.79295154185022
"heavy",0.889867841409692
"helicopter",0.850220264317181
"hello",0.845814977973568
"help",0.894273127753304
"hen",0.502202643171806
"her",0.612334801762115
"here",0.845814977973568
"hers",0.444933920704846
"hi",0.977973568281938
"hide",0.863436123348018
"high",0.819383259911894
"him",0.54625550660793
"his",0.511013215859031
"hit",0.86784140969163
"hold",0.863436123348018
"home",0.938325991189427
"horse",0.977973568281938
"hose",0.713656387665198
"hot",0.977973568281938
"house",0.920704845814978
"how",0.555066079295154
"hug",0.969162995594714
"hungry",0.903083700440529
"hurry",0.762114537444934
"hurt",0.863436123348018
"ice",0.911894273127753
"if",0.211453744493392
"inside",0.885462555066079
"into",0.361233480176211
"is",0.696035242290749
"it",0.814977973568282
"jacket",0.828193832599119
"jar",0.47136563876652
"jeans",0.682819383259912
"jello",0.709251101321586
"jelly",0.828193832599119
"juice",0.977973568281938
"jump",0.94273127753304
"keys",0.986784140969163
"kick",0.885462555066079
"kiss",0.960352422907489
"kitchen",0.916299559471366
"kitty",0.951541850220264
"knee",0.920704845814978
"knife",0.876651982378855
"knock",0.806167400881057
"ladder",0.704845814977974
"lady",0.674008810572687
"lamb",0.713656387665198
"lamp",0.682819383259912
"last",0.427312775330396
"later",0.691629955947137
"leg",0.960352422907489
"lemme",0.823788546255507
"lick",0.740088105726872
"light",0.973568281938326
"like",0.863436123348018
"lion",0.916299559471366
"lips",0.854625550660793
"listen",0.651982378854626
"little",0.885462555066079
"lollipop",0.669603524229075
"long",0.607929515418502
"look",0.885462555066079
"loud",0.823788546255507
"love",0.911894273127753
"lunch",0.907488986784141
"mad",0.700440528634361
"mailman",0.6784140969163
"make",0.797356828193833
"man",0.832599118942731
"me",0.92511013215859
"meat",0.814977973568282
"medicine",0.907488986784141
"melon",0.638766519823789
"meow",0.969162995594714
"milk",0.977973568281938
"mine",0.920704845814978
"mittens",0.616740088105727
"mommy",0.995594713656388
"money",0.920704845814978
"monkey",0.94273127753304
"moo",0.964757709251101
"moon",0.916299559471366
"moose",0.449339207048458
"mop",0.590308370044053
"more",0.920704845814978
"morning",0.79295154185022
"motorcycle",0.81057268722467
"mouse",0.929515418502203
"mouth",0.973568281938326
"movie",0.762114537444934
"much",0.466960352422908
"muffin",0.748898678414097
"my",0.837004405286344
"myself",0.502202643171806
"nail",0.669603524229075
"nap",0.938325991189427
"napkin",0.907488986784141
"naughty",0.365638766519824
"necklace",0.757709251101322
"need",0.665198237885463
"new",0.722466960352423
"nice",0.770925110132159
"night",0.837004405286344
"no",1
"noisy",0.656387665198238
"none",0.427312775330396
"noodles",0.876651982378855
"nose",0.977973568281938
"not",0.6784140969163
"now",0.819383259911894
"nurse",0.418502202643172
"nuts",0.718061674008811
"of",0.39647577092511
"off",0.938325991189427
"old",0.599118942731278
"on",0.92511013215859
"open",0.955947136563877
"orange",0.955947136563877
"other",0.590308370044053
"ouch",0.947136563876652
"our",0.387665198237885
"out",0.907488986784141
"outside",0.955947136563877
"oven",0.779735682819383
"over",0.73568281938326
"owie",0.92511013215859
"owl",0.801762114537445
"paint",0.81057268722467
"pajamas",0.92511013215859
"pancake",0.894273127753304
"pants",0.964757709251101
"paper",0.929515418502203
"park",0.898678414096916
"party",0.801762114537445
"pattycake",0.770925110132159
"peas",0.806167400881057
"peekaboo",0.955947136563877
"pen",0.894273127753304
"pencil",0.881057268722467
"penguin",0.687224669603524
"penis",0.60352422907489
"penny",0.73568281938326
"people",0.757709251101322
"person",0.3215859030837
"pick",0.687224669603524
"pickle",0.797356828193833
"picnic",0.656387665198238
"picture",0.911894273127753
"pig",0.960352422907489
"pillow",0.960352422907489
"pizza",0.964757709251101
"plant",0.784140969162996
"plate",0.903083700440529
"play",0.955947136563877
"playground",0.656387665198238
"please",0.986784140969163
"police",0.691629955947137
"pony",0.612334801762115
"pool",0.876651982378855
"poor",0.286343612334802
"popcorn",0.94273127753304
"popsicle",0.81057268722467
"porch",0.480176211453745
"potato",0.801762114537445
"potty",0.951541850220264
"pour",0.691629955947137
"present",0.881057268722467
"pretend",0.493392070484582
"pretty",0.832599118942731
"pretzel",0.788546255506608
"pudding",0.674008810572687
"pull",0.788546255506608
"pumpkin",0.81057268722467
"puppy",0.929515418502203
"purse",0.81057268722467
"push",0.859030837004405
"put",0.762114537444934
"puzzle",0.872246696035242
"quiet",0.753303964757709
"radio",0.748898678414097
"rain",0.951541850220264
"raisin",0.907488986784141
"read",0.938325991189427
"red",0.903083700440529
"refrigerator",0.876651982378855
"ride",0.889867841409692
"rip",0.431718061674009
"rock",0.938325991189427
"roof",0.621145374449339
"room",0.889867841409692
"rooster",0.625550660792952
"run",0.94273127753304
"sad",0.784140969162996
"salt",0.647577092511013
"same",0.462555066079295
"sandbox",0.704845814977974
"sandwich",0.911894273127753
"sauce",0.643171806167401
"say",0.748898678414097
"scared",0.823788546255507
"scarf",0.400881057268722
"school",0.911894273127753
"scissors",0.854625550660793
"see",0.894273127753304
"shake",0.674008810572687
"share",0.801762114537445
"she",0.621145374449339
"sheep",0.86784140969163
"shirt",0.951541850220264
"shoe",0.977973568281938
"shopping",0.841409691629956
"shorts",0.881057268722467
"shoulder",0.713656387665198
"shovel",0.784140969162996
"show",0.784140969162996
"shower",0.86784140969163
"sick",0.806167400881057
"sidewalk",0.722466960352423
"sing",0.894273127753304
"sink",0.837004405286344
"sister",0.704845814977974
"sit",0.929515418502203
"skate",0.497797356828194
"sky",0.854625550660793
"sled",0.418502202643172
"sleep",0.92511013215859
"sleepy",0.775330396475771
"slide",0.894273127753304
"slipper",0.731277533039648
"slow",0.643171806167401
"smile",0.770925110132159
"snack",0.872246696035242
"sneaker",0.524229074889868
"snow",0.788546255506608
"snowman",0.744493392070485
"snowsuit",0.251101321585903
"so",0.374449339207048
"soap",0.94273127753304
"sock",0.969162995594714
"soda",0.726872246696035
"sofa",0.484581497797357
"soft",0.788546255506608
"some",0.788546255506608
"soup",0.845814977973568
"spaghetti",0.916299559471366
"spill",0.845814977973568
"splash",0.850220264317181
"spoon",0.969162995594714
"sprinkler",0.625550660792952
"squirrel",0.801762114537445
"stairs",0.859030837004405
"stand",0.770925110132159
"star",0.903083700440529
"stay",0.770925110132159
"stick",0.876651982378855
"sticky",0.801762114537445
"stone",0.484581497797357
"stop",0.92511013215859
"store",0.938325991189427
"story",0.832599118942731
"stove",0.6784140969163
"strawberry",0.854625550660793
"street",0.881057268722467
"stroller",0.916299559471366
"stuck",0.73568281938326
"sun",0.94273127753304
"sweater",0.753303964757709
"sweep",0.762114537444934
"swim",0.881057268722467
"swing",0.920704845814978
"table",0.92511013215859
"take",0.766519823788546
"talk",0.832599118942731
"tape",0.814977973568282
"taste",0.709251101321586
"teacher",0.665198237885463
"tear",0.590308370044053
"teddybear",0.894273127753304
"telephone",0.960352422907489
"that",0.850220264317181
"the",0.709251101321586
"their",0.317180616740088
"them",0.458149779735683
"then",0.33920704845815
"there",0.775330396475771
"these",0.537444933920705
"they",0.449339207048458
"think",0.524229074889868
"thirsty",0.797356828193833
"this",0.784140969162996
"those",0.511013215859031
"throw",0.894273127753304
"tickle",0.881057268722467
"tiger",0.898678414096916
"tights",0.436123348017621
"time",0.497797356828194
"tiny",0.449339207048458
"tired",0.854625550660793
"tissue",0.863436123348018
"to",0.722466960352423
"toast",0.894273127753304
"today",0.665198237885463
"toe",0.951541850220264
"tomorrow",0.625550660792952
"tongue",0.916299559471366
"tonight",0.506607929515419
"too",0.784140969162996
"tooth",0.929515418502203
"toothbrush",0.947136563876652
"touch",0.845814977973568
"towel",0.916299559471366
"toy",0.964757709251101
"tractor",0.704845814977974
"train",0.969162995594714
"trash",0.788546255506608
"tray",0.427312775330396
"tree",0.960352422907489
"tricycle",0.612334801762115
"truck",0.964757709251101
"try",0.643171806167401
"tummy",0.947136563876652
"tuna",0.506607929515419
"turkey",0.744493392070485
"turtle",0.94273127753304
"uncle",0.797356828193833
"under",0.784140969162996
"underpants",0.731277533039648
"up",0.911894273127753
"us",0.343612334801762
"vacuum",0.854625550660793
"vagina",0.392070484581498
"vanilla",0.484581497797357
"vitamins",0.682819383259912
"vroom",0.81057268722467
"wait",0.797356828193833
"wake",0.797356828193833
"walk",0.929515418502203
"walker",0.325991189427313
"wanna",0.806167400881057
"was",0.458149779735683
"wash",0.916299559471366
"watch",0.86784140969163
"water",0.947136563876652
"we",0.559471365638767
"were",0.286343612334802
"wet",0.947136563876652
"what",0.881057268722467
"when",0.444933920704846
"where",0.832599118942731
"which",0.312775330396476
"white",0.770925110132159
"who",0.713656387665198
"why",0.6784140969163
"will",0.524229074889868
"wind",0.770925110132159
"window",0.916299559471366
"windy",0.704845814977974
"wipe",0.784140969162996
"wish",0.383259911894273
"with",0.700440528634361
"wolf",0.60352422907489
"woods",0.343612334801762
"work",0.920704845814978
"would",0.268722466960352
"write",0.740088105726872
"yard",0.731277533039648
"yellow",0.86784140969163
"yes",0.995594713656388
"yesterday",0.348017621145374
"yogurt",0.845814977973568
"you",0.894273127753304
"your",0.621145374449339
"yourself",0.242290748898678
"yucky",0.889867841409692
"zebra",0.801762114537445
"zipper",0.832599118942731
"zoo",0.801762114537445